,Quarter,Time,Tm,Detail,ATL,WAS
0,1.0,,Falcons,Terance Mathis 4 yard pass from Jeff George (Norm Johnson kick),7,0
1,2.0,14:09,Redskins,Reggie Brooks 2 yard rush (Chip Lohmiller kick),7,7
2,2.0,14:09,Redskins,Henry Ellard 73 yard pass from John Friesz,7,13
3,3.0,14:09,Falcons,Bert Emanuel 31 yard pass from Jeff George (Norm Johnson kick),14,13
4,3.0,14:09,Falcons,Norm Johnson 30 yard field goal,17,13
5,3.0,14:09,Falcons,Craig Heyward 1 yard rush (Norm Johnson kick),24,13
6,4.0,14:09,Falcons,Norm Johnson 22 yard field goal,27,13
7,4.0,14:09,Redskins,Ricky Ervins 3 yard rush (Chip Lohmiller kick),27,20
