,Quarter,Tm,Detail,CLE,DEN
0,1.0,Broncos,John Elway 13 yard rush (David Treadwell kick),0,7
1,1.0,Browns,Eric Metcalf 5 yard rush,6,7
2,2.0,Broncos,David Treadwell 20 yard field goal,6,10
3,2.0,Browns,Webster Slaughter 43 yard pass from Bernie Kosar (Jerry Kauric kick),13,10
4,2.0,Broncos,Bobby Humphrey 19 yard rush (David Treadwell kick),13,17
5,2.0,Broncos,"Safety, Fletcher blocked punt out of end zone",13,19
6,3.0,Browns,Kevin Mack 11 yard pass from Bernie Kosar (Jerry Kauric kick),20,19
7,4.0,Broncos,Mark Jackson 16 yard rush (David Treadwell kick),20,26
8,4.0,Broncos,David Treadwell 25 yard field goal,20,29
9,4.0,Browns,Brian Brennan 24 yard pass from Bernie Kosar (Jerry Kauric kick),27,29
10,4.0,Browns,Jerry Kauric 30 yard field goal,30,29
