,Quarter,Time,Tm,Detail,IND,NWE
0,1.0,,Patriots,Sam Gash 3 yard pass from Drew Bledsoe (Adam Vinatieri kick),0,7
1,1.0,,Colts,Cary Blanchard 24 yard field goal,3,7
2,2.0,,Patriots,Adam Vinatieri 32 yard field goal,3,10
3,2.0,,Patriots,Adam Vinatieri 48 yard field goal,3,13
4,3.0,,Colts,Aaron Bailey 18 yard pass from Jim Harbaugh (Cary Blanchard kick),10,13
5,4.0,0:32,Patriots,Troy Brown 18 yard pass from Drew Bledsoe (Adam Vinatieri kick),10,20
6,4.0,0:32,Colts,Sean Dawkins 11 yard pass from Jim Harbaugh (Cary Blanchard kick),17,20
