,Quarter,Tm,Detail,NYG,PHO
0,1.0,Giants,Jeff Hostetler 47 yard rush (Raul Allegre kick),7,0
1,2.0,Giants,Rodney Hampton 1 yard rush (Raul Allegre kick),14,0
2,2.0,Cardinals,Johnny Johnson 3 yard rush (Greg Davis kick),14,7
3,3.0,Giants,Jeff Hostetler 4 yard rush (Raul Allegre kick),21,7
4,4.0,Cardinals,Ricky Proehl 34 yard pass from Stan Gelbaugh (Greg Davis kick),21,14
