,Quarter,Tm,Detail,MIN,TAM
0,1.0,Buccaneers,Garo Yepremian 27 yard field goal,0,3
1,2.0,Buccaneers,Kevin House 30 yard pass from Doug Williams (Garo Yepremian kick),0,10
2,3.0,Vikings,Ted Brown 1 yard rush (Rick Danmeier kick),7,10
3,4.0,Vikings,Sammy White 17 yard pass from Tommy Kramer (Rick Danmeier kick),14,10
4,4.0,Vikings,Rickey Young 3 yard rush (Rick Danmeier kick),21,10
