,Quarter,Time,Tm,Detail,PIT,NYG
0,1.0,12:54,Giants,Brad Daluiso 38 yard field goal,0,3
1,2.0,14:47,Giants,Brad Daluiso 40 yard field goal,0,6
2,2.0,8:27,Giants,Tiki Barber 3 yard rush (Brad Daluiso kick),0,13
3,2.0,0:35,Steelers,Kris Brown 32 yard field goal,3,13
4,3.0,5:24,Giants,Ike Hilliard 9 yard pass from Kerry Collins (Brad Daluiso kick),3,20
5,4.0,13:27,Giants,Brad Daluiso 21 yard field goal,3,23
6,4.0,2:34,Giants,Amani Toomer 2 yard pass from Kerry Collins (Brad Daluiso kick),3,30
7,4.0,1:04,Steelers,Bobby Shaw 5 yard pass from Kordell Stewart (Kris Brown kick),10,30
