,Quarter,Tm,Detail,RAM,DET
0,1.0,Rams,Fred Gehrke 23 yard rush (Bob Waterfield kick),7,0
1,1.0,Lions,Bob Westfall 1 yard rush (Bill Callihan kick),7,7
2,2.0,Rams,Jim Benton 70 yard pass from Bob Waterfield (Bob Waterfield kick),14,7
3,2.0,Rams,Bob Waterfield 1 yard rush (Bob Waterfield kick),21,7
4,3.0,Rams,Steve Pritko 17 yard pass from Bob Waterfield (Bob Waterfield kick),28,7
5,4.0,Lions,Dick Booth 54 yard pass from Dave Ryan (Bill Callihan kick),28,14
6,4.0,Lions,Ed Frutig 3 yard pass from Chuck Fenenbock (Bill Callihan kick),28,21
