,Quarter,Tm,Detail,KEN,BUF
0,1.0,Bisons,Al Guarnieri 12 yard pass from Benny Boynton (Benny Boynton kick),0,7
1,2.0,Bisons,Benny Boynton 10 yard pass from Eddie Kaw,0,13
2,2.0,Bisons,Benny Boynton 17 yard rush (Benny Boynton kick),0,20
3,4.0,Bisons,Eddie Kaw 1 yard pass from Benny Boynton (Benny Boynton kick),0,27
