,Quarter,Tm,Detail,BKN,PHI
0,2.0,Dodgers,Ralph Kercheval 45 yard field goal,3,0
1,2.0,Dodgers,Ace Parker 32 yard rush (Ace Parker kick),10,0
2,3.0,Eagles,Bill Hewitt 8 yard pass from Emmett Mortell (Jay Arnold kick),10,7
