,Quarter,Tm,Detail,DAL,PHI
0,1.0,Eagles,Harold Carmichael 1 yard pass from Roman Gabriel (Horst Muhlmann kick),0,7
1,2.0,Cowboys,Golden Richards 43 yard punt return (Toni Fritsch kick),7,7
2,2.0,Eagles,Harold Carmichael 18 yard pass from Roman Gabriel (Horst Muhlmann kick),7,14
3,2.0,Cowboys,Toni Fritsch 20 yard field goal,10,14
4,4.0,Eagles,Horst Muhlmann 28 yard field goal,10,17
5,4.0,Cowboys,Drew Pearson 21 yard pass from Roger Staubach (Toni Fritsch kick),17,17
6,4.0,Cowboys,Toni Fritsch 42 yard field goal,20,17
