,Quarter,Tm,Detail,CLE,FRN
0,2,Bulldogs,Al Nesser 15 yard fumble return (Doc Elliott kick),7,0
1,4,Bulldogs,Dave Noble 2 yard pass from Doc Elliott (Doc Elliott kick),14,0
