,Quarter,Tm,Detail,GNB,PHI
0,1.0,Packers,Tony Canadeo 35 yard rush (Don Hutson kick),7,0
1,1.0,Eagles/Steelers,Jack Hinkle 38 yard rush (Roy Zimmerman kick),7,7
2,1.0,Packers,Tony Canadeo 13 yard pass from Lou Brock (Don Hutson kick),14,7
3,1.0,Eagles/Steelers,Tony Bova 48 yard pass from Roy Zimmerman (Roy Zimmerman kick),14,14
4,2.0,Packers,Don Hutson 25 yard field goal,17,14
5,3.0,Packers,Irv Comp 4 yard rush (Don Hutson kick),24,14
6,4.0,Packers,Don Hutson 12 yard pass from Irv Comp (Don Hutson kick),31,14
7,4.0,Eagles/Steelers,Tony Bova 13 yard pass from Allie Sherman (Roy Zimmerman kick),31,21
8,4.0,Eagles/Steelers,Ernie Steele 4 yard rush (Roy Zimmerman kick),31,28
9,4.0,Packers,Don Hutson 23 yard pass from Irv Comp (Don Hutson kick),38,28
