,Quarter,Tm,Detail,DAL,WAS
0,2,Redskins,Joe Theismann 1 yard rush (Mark Moseley kick),0,7
1,3,Cowboys,Golden Richards 4 yard pass from Roger Staubach (Efren Herrera kick),7,7
2,4,Cowboys,Tony Dorsett 1 yard rush (Efren Herrera kick),14,7
