,Quarter,Time,Tm,Detail,NOR,JAX
0,1.0,4:19,Saints,John Carney 33 yard field goal,3,0
1,2.0,13:30,Jaguars,Seth Marler 43 yard field goal,3,3
2,2.0,6:54,Jaguars,LaBrandon Toefield 14 yard pass from Byron Leftwich (Seth Marler kick),3,10
3,2.0,2:55,Saints,Boo Williams 2 yard pass from Aaron Brooks (John Carney kick),10,10
4,2.0,0:21,Jaguars,Fred Taylor 1 yard rush (Seth Marler kick),10,17
5,3.0,3:32,Saints,John Carney 38 yard field goal,13,17
6,3.0,0:09,Jaguars,Seth Marler 35 yard field goal,13,20
7,4.0,0:00,Saints,Jerome Pathon 21 yard pass from Aaron Brooks (John Carney kick failed),19,20
