,Quarter,Tm,Detail,MIN,BAL
0,1.0,Vikings,Hal Bedsole 36 yard pass from Fran Tarkenton (Fred Cox kick),7,0
1,1.0,Vikings,Fred Cox 35 yard field goal,10,0
2,2.0,Colts,Lenny Moore 1 yard rush (Lou Michaels kick),10,7
3,2.0,Colts,Jerry Logan 38 yard interception return (Lou Michaels kick),10,14
4,3.0,Vikings,Fred Cox 37 yard field goal,13,14
5,3.0,Colts,Jimmy Orr 9 yard pass from Johnny Unitas (Lou Michaels kick),13,21
6,3.0,Vikings,Fred Cox 39 yard field goal,16,21
7,4.0,Colts,John Mackey 31 yard pass from Johnny Unitas (Lou Michaels kick),16,28
8,4.0,Colts,Jerry Hill 8 yard rush (Lou Michaels kick),16,35
