,Quarter,Tm,Detail,CIN,SDG
0,1.0,Chargers,Ray Wersching 39 yard field goal,0,3
1,1.0,Bengals,Essex Johnson 78 yard pass from Ken Anderson (Horst Muhlmann kick),7,3
2,2.0,Bengals,Boobie Clark 1 yard rush,13,3
3,3.0,Bengals,Essex Johnson 38 yard pass from Ken Anderson (Horst Muhlmann kick),20,3
4,4.0,Chargers,Ray Wersching 13 yard field goal,20,6
5,4.0,Chargers,Bob Thomas 8 yard pass from Johnny Unitas (Ray Wersching kick),20,13
