,Quarter,Tm,Detail,STL,PIT
0,1.0,Steelers,Bert Rechichar 42 yard field goal,0,3
1,1.0,Steelers,Bert Rechichar 31 yard field goal,0,6
2,2.0,Steelers,Tom Tracy 4 yard rush (Bert Rechichar kick),0,13
3,3.0,Steelers,Buddy Dial 26 yard pass from Bobby Layne (Bert Rechichar kick),0,20
4,4.0,Cardinals,John David Crow 6 yard rush (Bobby Joe Conrad kick),7,20
5,4.0,Cardinals,Frank Mestnik 2 yard rush (Bobby Joe Conrad kick),14,20
6,4.0,Steelers,Jimmy Orr 51 yard pass from Tom Tracy (Bert Rechichar kick),14,27
