,Quarter,Time,Tm,Detail,GNB,CAR
0,1.0,10:21,Panthers,Chris Hetherington 3 yard pass from Steve Beuerlein (Joe Nedney kick),0,7
1,1.0,7:03,Panthers,Muhsin Muhammad 12 yard pass from Steve Beuerlein (Joe Nedney kick),0,14
2,2.0,11:57,Packers,Ahman Green 26 yard rush (Ryan Longwell kick),7,14
3,2.0,2:02,Packers,Donald Driver 32 yard pass from Brett Favre (Ryan Longwell kick),14,14
4,2.0,1:01,Panthers,Joe Nedney 26 yard field goal,14,17
5,3.0,13:05,Panthers,Muhsin Muhammad 3 yard pass from Steve Beuerlein (Joe Nedney kick),14,24
6,4.0,9:14,Panthers,Brad Hoover 1 yard rush (Joe Nedney kick),14,31
