,Quarter,Tm,Detail,DEN,HOU
0,1.0,Broncos,Mike Haffner 13 yard pass from Steve Tensi (Bobby Howfield kick),7,0
1,1.0,Oilers,Roy Hopkins 1 yard rush (Roy Gerela kick),7,7
2,1.0,Oilers,Jerry LeVias 43 yard pass from Pete Beathard (Roy Gerela kick),7,14
3,2.0,Broncos,Tommie Smiley 1 yard rush (Bobby Howfield kick),14,14
4,3.0,Broncos,Floyd Little 3 yard rush (Bobby Howfield kick),21,14
5,4.0,Oilers,Roy Hopkins 43 yard rush (Roy Gerela kick),21,21
6,4.0,Oilers,Roy Gerela 22 yard field goal,21,24
