,Quarter,Tm,Detail,RAI,CLE
0,1.0,Raiders,Frank Hawkins 21 yard rush (Chris Bahr kick),7,0
1,1.0,Browns,Earnest Byner 1 yard rush (Matt Bahr kick),7,7
2,2.0,Raiders,Marcus Allen 11 yard pass from Marc Wilson (Chris Bahr kick),14,7
3,3.0,Browns,Matt Bahr 31 yard field goal,14,10
4,4.0,Browns,Matt Bahr 31 yard field goal,14,13
5,4.0,Browns,Kevin Mack 7 yard pass from Bernie Kosar (Matt Bahr kick),14,20
6,4.0,Raiders,Todd Christensen 8 yard pass from Marc Wilson (Chris Bahr kick),21,20
