,Quarter,Tm,Detail,GNB,BAL
0,1.0,Packers,Billy Howton 66 yard pass from Tobin Rote (Fred Cone kick),7,0
1,2.0,Colts,Jim Mutscheller 7 yard pass from Johnny Unitas (Tom Feamster kick),7,7
2,2.0,Colts,Raymond Berry 43 yard pass from Johnny Unitas (Tom Feamster kick),7,14
3,2.0,Colts,Lenny Moore 72 yard rush (Tom Feamster kick),7,21
4,3.0,Packers,Tobin Rote 5 yard rush (Fred Cone kick),14,21
5,4.0,Packers,Billy Howton 7 yard pass from Tobin Rote (Fred Cone kick),21,21
6,4.0,Colts,Lenny Moore 79 yard rush (Tom Feamster kick),21,28
