,Quarter,Tm,Detail,PHO,DAL
0,1.0,Cardinals,Al Del Greco 40 yard field goal,3,0
1,1.0,Cardinals,Al Del Greco 25 yard field goal,6,0
2,2.0,Cowboys,Roger Ruzek 37 yard field goal,6,3
3,3.0,Cardinals,Mike Zordich 16 yard interception return (Al Del Greco kick),13,3
4,4.0,Cardinals,Al Del Greco 31 yard field goal,16,3
5,4.0,Cowboys,Derrick Shepard 37 yard pass from Steve Walsh (Roger Ruzek kick),16,10
6,4.0,Cardinals,Al Del Greco 42 yard field goal,19,10
