,Quarter,Tm,Detail,ATL,CLE
0,1.0,Falcons,Ken Burrow 39 yard pass from Dick Shiner (Bill Bell kick),7,0
1,1.0,Falcons,Don Hansen 40 yard interception return (Bill Bell kick),14,0
2,2.0,Falcons,Jim Mitchell 23 yard pass from Dick Shiner (Bill Bell kick),21,0
3,3.0,Falcons,Cannonball Butler 1 yard rush (Bill Bell kick),28,0
4,3.0,Browns,Bo Scott 12 yard rush (Don Cockroft kick),28,7
5,4.0,Falcons,Bill Bell 27 yard field goal,31,7
6,4.0,Browns,Gary Collins 24 yard pass from Bill Nelsen (Don Cockroft kick),31,14
