,Quarter,Tm,Detail,NWE,DEN
0,1.0,Patriots,Reggie Dupard 10 yard rush (Tony Franklin kick),7,0
1,2.0,Broncos,Rich Karlis 24 yard field goal,7,3
2,2.0,Patriots,Tony Collins 4 yard pass from Tom Ramsey (Tony Franklin kick),14,3
3,2.0,Patriots,Tony Franklin 36 yard field goal,17,3
4,3.0,Broncos,Tony Boddie 1 yard rush (Rich Karlis kick),17,10
5,3.0,Broncos,Rick Massie 7 yard pass from John Elway (Rich Karlis kick),17,17
6,3.0,Patriots,Tony Franklin 27 yard field goal,20,17
7,4.0,Broncos,Mark Jackson 2 yard pass from John Elway (Rich Karlis kick),20,24
8,4.0,Broncos,Mark Haynes 14 yard interception return (Rich Karlis kick),20,31
