,Quarter,Tm,Detail,DET,SFO
0,2.0,49ers,Tom Rathman 1 yard rush (Mike Cofer kick),0,7
1,2.0,Lions,Eddie Murray 37 yard field goal,3,7
2,2.0,49ers,Harry Sydney 11 yard rush (Mike Cofer kick),3,14
3,2.0,49ers,Jerry Rice 2 yard pass from Steve Young (Mike Cofer kick),3,21
4,3.0,49ers,Tom Rathman 2 yard rush (Mike Cofer kick),3,28
5,3.0,49ers,Mike Sherrard 22 yard pass from Steve Young (Mike Cofer kick),3,35
