,Quarter,Time,Tm,Detail,DET,MIA
0,1.0,,Dolphins,Bernie Parmalee 1 yard rush (Pete Stoyanovich kick),0,7
1,1.0,,Lions,Jason Hanson 32 yard field goal,3,7
2,2.0,,Dolphins,Pete Stoyanovich 40 yard field goal,3,10
3,2.0,,Dolphins,Bernie Parmalee 1 yard rush (Pete Stoyanovich kick),3,17
4,2.0,,Dolphins,Bernie Parmalee 6 yard rush (Pete Stoyanovich kick),3,24
5,2.0,1:01,Lions,Johnnie Morton 93 yard kickoff return (Jason Hanson kick),10,24
6,2.0,1:01,Dolphins,Pete Stoyanovich 45 yard field goal,10,27
7,3.0,1:01,Lions,Jason Hanson 40 yard field goal,13,27
8,4.0,1:01,Lions,Aubrey Matthews 5 yard pass from Dave Krieg (Jason Hanson kick),20,27
