,Quarter,Tm,Detail,SDG,SEA
0,1.0,Seahawks,Rick Mirer 2 yard rush (John Kasay kick),0,7
1,1.0,Chargers,Marion Butts 2 yard rush (John Carney kick),7,7
2,2.0,Seahawks,John Kasay 33 yard field goal,7,10
3,2.0,Seahawks,Brian Blades 17 yard pass from Dan McGwire (John Kasay kick),7,17
4,3.0,Seahawks,Chris Warren 1 yard rush (John Kasay kick),7,24
5,4.0,Seahawks,Kelvin Martin 18 yard pass from Rick Mirer (John Kasay kick),7,31
6,4.0,Chargers,Anthony Miller 11 yard pass from John Friesz (John Carney kick),14,31
