,Quarter,Time,Tm,Detail,SEA,CLE
0,2.0,10:27,Browns,Phil Dawson 48 yard field goal,0,3
1,2.0,2:30,Seahawks,Rian Lindell 49 yard field goal,3,3
2,3.0,8:17,Seahawks,Rian Lindell 23 yard field goal,6,3
3,4.0,2:14,Browns,Phil Dawson 22 yard field goal,6,6
4,4.0,0:03,Seahawks,Rian Lindell 52 yard field goal,9,6
