,Quarter,Tm,Detail,MIN,DET
0,1.0,Lions,Errol Mann 20 yard field goal,0,3
1,1.0,Lions,Mel Farr 3 yard pass from Greg Landry (Errol Mann kick),0,10
2,2.0,Lions,Errol Mann 36 yard field goal,0,13
3,2.0,Vikings,Fred Cox 13 yard field goal,3,13
4,3.0,Vikings,Bob Grim 45 yard pass from Gary Cuozzo (Fred Cox kick),10,13
5,4.0,Vikings,Fred Cox 42 yard field goal,13,13
6,4.0,Vikings,Fred Cox 9 yard field goal,16,13
