,Quarter,Tm,Detail,CLE,DET
0,2.0,Lions,Eddie Murray 39 yard field goal,0,3
1,2.0,Browns,Matt Bahr 35 yard field goal,3,3
2,2.0,Lions,Richard Johnson 27 yard pass from Bob Gagliano (Eddie Murray kick),3,10
3,2.0,Browns,Barry Redden 38 yard rush (Matt Bahr kick),10,10
4,3.0,Lions,Eddie Murray 35 yard field goal,10,13
