,Quarter,Time,Tm,Detail,NOR,CAR
0,1.0,12:02,Panthers,Richie Cunningham 27 yard field goal,0,3
1,1.0,2:02,Panthers,Muhsin Muhammad 7 yard pass from Steve Beuerlein (Richie Cunningham kick),0,10
2,2.0,11:57,Panthers,Wesley Walls 37 yard pass from Steve Beuerlein (Richie Cunningham kick),0,17
3,3.0,12:06,Panthers,Wesley Walls 15 yard pass from Steve Beuerlein (Richie Cunningham kick),0,24
4,3.0,0:54,Panthers,Patrick Jeffers 40 yard pass from Steve Beuerlein (Richie Cunningham kick),0,31
5,4.0,13:00,Saints,Eddie Kennison 3 yard pass from Jake Delhomme (Doug Brien kick),7,31
6,4.0,12:39,Panthers,Michael Bates 95 yard kickoff return (Richie Cunningham kick),7,38
7,4.0,7:24,Panthers,Patrick Jeffers 32 yard pass from Steve Beuerlein (Richie Cunningham kick),7,45
8,4.0,0:18,Saints,Jake Delhomme 9 yard rush (pass failed),13,45
