,Quarter,Time,Tm,Detail,PHI,CLE
0,1,14:17,Eagles,Chad Lewis 10 yard pass from Donovan McNabb (David Akers kick),7,0
1,1,9:26,Browns,William Green 11 yard rush (Phil Dawson kick),7,7
2,1,7:33,Eagles,Terrell Owens 39 yard pass from Donovan McNabb (David Akers kick),14,7
3,2,10:39,Browns,Phil Dawson 38 yard field goal,14,10
4,2,8:31,Eagles,Terrell Owens 40 yard pass from Donovan McNabb (David Akers kick),21,10
5,2,3:11,Browns,Lee Suggs 13 yard rush (Phil Dawson kick),21,17
6,3,7:31,Browns,Steve Heiden 21 yard pass from Jeff Garcia (Phil Dawson kick),21,24
7,4,14:13,Eagles,L.J. Smith 2 yard pass from Donovan McNabb (David Akers kick),28,24
8,4,10:47,Eagles,David Akers 38 yard field goal,31,24
9,4,0:30,Browns,Jeff Garcia 4 yard rush (Phil Dawson kick),31,31
10,OT,5:02,Eagles,David Akers 50 yard field goal,34,31
