,Quarter,Time,Tm,Detail,NOR,MIN
0,1.0,14:47,Vikings,Travis Taylor 24 yard pass from Daunte Culpepper (Paul Edinger kick),0,7
1,1.0,7:18,Vikings,Paul Edinger 24 yard field goal,0,10
2,1.0,0:33,Vikings,Travis Taylor 13 yard pass from Daunte Culpepper (Paul Edinger kick),0,17
3,2.0,5:37,Vikings,Troy Williamson 53 yard pass from Daunte Culpepper (Paul Edinger kick),0,24
4,2.0,1:54,Saints,Ernie Conwell 13 yard pass from Aaron Brooks (pass failed),6,24
5,3.0,5:38,Saints,John Carney 22 yard field goal,9,24
6,4.0,11:40,Saints,Deuce McAllister 1 yard rush (John Carney kick),16,24
7,4.0,6:17,Vikings,Paul Edinger 28 yard field goal,16,27
8,4.0,4:29,Vikings,Paul Edinger 48 yard field goal,16,30
9,4.0,1:08,Vikings,Paul Edinger 34 yard field goal,16,33
