,Quarter,Time,Tm,Detail,IND,NYJ
0,1.0,14:48,Jets,Morris Claiborne 17 yard interception return (Jason Myers kick),0,7
1,1.0,12:16,Colts,Marcus Johnson 34 yard pass from Andrew Luck (Adam Vinatieri kick),7,7
2,1.0,4:33,Jets,Jason Myers 30 yard field goal,7,10
3,2.0,13:25,Colts,Adam Vinatieri 21 yard field goal,10,10
4,2.0,11:24,Colts,Adam Vinatieri 31 yard field goal,13,10
5,2.0,2:35,Jets,Terrelle Pryor 7 yard pass from Sam Darnold (Jason Myers kick),13,17
6,2.0,1:25,Jets,Jason Myers 48 yard field goal,13,20
7,2.0,0:00,Jets,Jason Myers 32 yard field goal,13,23
8,3.0,12:03,Jets,Chris Herndon 32 yard pass from Sam Darnold (Jason Myers kick),13,30
9,3.0,8:44,Colts,Eric Ebron 18 yard pass from Andrew Luck (Adam Vinatieri kick),20,30
10,3.0,3:53,Jets,Jason Myers 37 yard field goal,20,33
11,4.0,14:52,Colts,Erik Swoope 2 yard pass from Andrew Luck (Adam Vinatieri kick),27,33
12,4.0,9:40,Jets,Jason Myers 45 yard field goal,27,36
13,4.0,5:55,Jets,Jason Myers 37 yard field goal,27,39
14,4.0,3:19,Jets,Jason Myers 45 yard field goal,27,42
15,4.0,1:51,Colts,Chester Rogers 17 yard pass from Andrew Luck (Adam Vinatieri kick),34,42
