,Quarter,Tm,Detail,SFO,NYG
0,1.0,Giants,Don Chandler 14 yard field goal,0,3
1,1.0,Giants,Phil King 50 yard rush (Don Chandler kick),0,10
2,2.0,49ers,Bernie Casey 68 yard pass from Lamar McHan (Tommy Davis kick),7,10
3,2.0,Giants,Frank Gifford 10 yard pass from Y.A. Tittle (Don Chandler kick),7,17
4,2.0,Giants,Don Chandler 47 yard field goal,7,20
5,3.0,Giants,Joe Morrison 45 yard pass from Y.A. Tittle (Don Chandler kick),7,27
6,3.0,Giants,Del Shofner 70 yard pass from Y.A. Tittle (Don Chandler kick),7,34
7,3.0,Giants,Joe Morrison 10 yard pass from Y.A. Tittle (Don Chandler kick),7,41
8,3.0,49ers,Abe Woodson 99 yard kickoff return (Tommy Davis kick),14,41
9,4.0,Giants,Frank Gifford 30 yard pass from Glynn Griffing (Don Chandler kick),14,48
