,Quarter,Tm,Detail,HOU,NWE
0,1.0,Patriots,Stanley Morgan 28 yard pass from Andy Johnson (John Smith kick),0,7
1,2.0,Oilers,Dave Casper 9 yard pass from Ken Stabler (Toni Fritsch kick),7,7
2,2.0,Oilers,Toni Fritsch 42 yard field goal,10,7
3,3.0,Patriots,Stanley Morgan 42 yard pass from Steve Grogan (John Smith kick),10,14
4,3.0,Patriots,John Smith 21 yard field goal,10,17
5,3.0,Patriots,Andy Johnson 10 yard pass from Steve Grogan (John Smith kick),10,24
6,4.0,Patriots,Vagas Ferguson 15 yard rush (John Smith kick),10,31
7,4.0,Patriots,Steve Grogan 24 yard rush (John Smith kick),10,38
