,Quarter,Tm,Detail,RAI,DEN
0,1.0,Broncos,Steve Watson 35 yard pass from John Elway (Rich Karlis kick),0,7
1,1.0,Raiders,Marcus Allen 24 yard pass from Marc Wilson (Chris Bahr kick),7,7
2,1.0,Raiders,Todd Christensen 16 yard pass from Marc Wilson (Chris Bahr kick),14,7
3,1.0,Raiders,"Safety, Townsend tackled Elway in end zone",16,7
4,2.0,Raiders,Chris Bahr 43 yard field goal,19,7
5,2.0,Broncos,John Elway 23 yard pass from Steve Sewell (Rich Karlis kick),19,14
6,2.0,Raiders,Chris Bahr 42 yard field goal,22,14
7,2.0,Broncos,Gene Lang 1 yard rush (Rich Karlis kick),22,21
8,3.0,Raiders,Marcus Allen 2 yard rush (Chris Bahr kick),29,21
9,3.0,Broncos,Ken Woodard 16 yard defensive fumble return (Rich Karlis kick),29,28
10,3.0,Raiders,Rod Barksdale 57 yard pass from Marc Wilson (Chris Bahr kick),36,28
11,4.0,Broncos,Rich Karlis 51 yard field goal,36,31
12,4.0,Broncos,Gene Lang 7 yard pass from John Elway (Rich Karlis kick),36,38
