,Quarter,Time,Tm,Detail,ARI,NOR
0,1.0,,Cardinals,Jake Plummer 10 yard rush (Joe Nedney kick),7,0
1,2.0,,Saints,Doug Brien 20 yard field goal,7,3
2,2.0,,Cardinals,Joe Nedney 30 yard field goal,10,3
3,3.0,,Saints,Randal Hill 9 yard pass from Billy Joe Hobert (Doug Brien kick),10,10
4,4.0,,Saints,Doug Brien 33 yard field goal,10,13
5,4.0,,Saints,Eric Guliford 16 yard pass from Billy Joe Hobert (Doug Brien kick),10,20
6,4.0,,Saints,John Farquhar 8 yard pass from Billy Joe Hobert (Doug Brien kick),10,27
