,Quarter,Tm,Detail,BUF,MIA
0,1.0,Dolphins,Tommy Vigorito 7 yard pass from David Woodley (Uwe von Schamann kick),0,7
1,2.0,Dolphins,Uwe von Schamann 22 yard field goal,0,10
2,2.0,Bills,Nick Mike-Mayer 31 yard field goal,3,10
3,3.0,Dolphins,Uwe von Schamann 30 yard field goal,3,13
4,4.0,Bills,Nick Mike-Mayer 36 yard field goal,6,13
5,4.0,Dolphins,Uwe von Schamann 33 yard field goal,6,16
