,Quarter,Tm,Detail,OAK,NYJ
0,2.0,Jets,Jim Turner 32 yard field goal,0,3
1,3.0,Jets,Pete Lammons 12 yard pass from Al Woodall (Jim Turner kick),0,10
2,3.0,Raiders,Warren Wells 13 yard pass from George Blanda (George Blanda kick),7,10
3,4.0,Jets,Jim Turner 32 yard field goal,7,13
4,4.0,Raiders,Warren Wells 33 yard pass from Daryle Lamonica (George Blanda kick),14,13
