,Quarter,Tm,Detail,FRN,CHI
0,1.0,Yellow Jackets,unknown yard field goal,3,0
1,2.0,Bears,Joey Sternaman 30 yard field goal,3,3
2,2.0,Bears,Joey Sternaman unknown yard rush (Joey Sternaman kick),3,10
3,3.0,Bears,"Safety,",3,12
4,3.0,Bears,Johnny Bryan 5 yard pass from Joey Sternaman (Joey Sternaman kick),3,19
5,4.0,Bears,Laurie Walquist 2 yard rush (Joey Sternaman kick),3,26
6,4.0,Bears,Dutch Sternaman unknown yard rush (Joey Sternaman kick),3,33
