,Quarter,Tm,Detail,MIA,RAM
0,1.0,Dolphins,Paul Warfield 74 yard pass from Bob Griese (Garo Yepremian kick),7,0
1,2.0,Dolphins,Howard Twilley 11 yard pass from Bob Griese (Garo Yepremian kick),14,0
2,3.0,Dolphins,Garo Yepremian 20 yard field goal,17,0
3,4.0,Rams,Larry Smith 1 yard rush (David Ray kick),17,7
4,4.0,Rams,Jack Snow 45 yard pass from Roman Gabriel (David Ray kick),17,14
5,4.0,Dolphins,Garo Yepremian 40 yard field goal,20,14
