,Quarter,Tm,Detail,CHI,WAS
0,2.0,Redskins,Don Warren 3 yard pass from Mark Rypien (Chip Lohmiller kick),0,7
1,2.0,Redskins,Gary Clark 5 yard pass from Mark Rypien (Chip Lohmiller kick),0,14
2,2.0,Bears,Thomas Sanders 96 yard kickoff return (Kevin Butler kick),7,14
3,2.0,Bears,Dennis McKinnon 12 yard pass from Mike Tomczak (Kevin Butler kick),14,14
4,3.0,Redskins,Chip Lohmiller 28 yard field goal,14,17
5,3.0,Redskins,Art Monk 18 yard pass from Mark Rypien (Chip Lohmiller kick),14,24
6,4.0,Redskins,Art Monk 9 yard pass from Mark Rypien (Chip Lohmiller kick),14,31
7,4.0,Redskins,Earnest Byner 4 yard rush (Chip Lohmiller kick),14,38
