,Quarter,Tm,Detail,NOR,SFO
0,2.0,49ers,Wendell Tyler 8 yard rush (Ray Wersching kick),0,7
1,2.0,Saints,Hokie Gajan 5 yard rush (Morten Andersen kick),7,7
2,2.0,Saints,Morten Andersen 39 yard field goal,10,7
3,3.0,49ers,Ray Wersching 42 yard field goal,10,10
4,3.0,Saints,Morten Andersen 39 yard field goal,13,10
5,4.0,49ers,Roger Craig 2 yard rush (Ray Wersching kick),13,17
6,4.0,Saints,Eugene Goodlow 43 yard pass from Dave Wilson (Morten Andersen kick),20,17
