,Quarter,Tm,Detail,PIT,MIA
0,1.0,Dolphins,Mark Clayton 40 yard pass from Dan Marino (Uwe von Schamann kick),0,7
1,1.0,Steelers,Rich Erenberg 7 yard rush (Gary Anderson kick),7,7
2,2.0,Dolphins,Uwe von Schamann 26 yard field goal,7,10
3,2.0,Steelers,John Stallworth 65 yard pass from Mark Malone (Gary Anderson kick),14,10
4,2.0,Dolphins,Mark Duper 41 yard pass from Dan Marino (Uwe von Schamann kick),14,17
5,2.0,Dolphins,Tony Nathan 2 yard rush (Uwe von Schamann kick),14,24
6,3.0,Dolphins,Mark Duper 36 yard pass from Dan Marino (Uwe von Schamann kick),14,31
7,3.0,Steelers,John Stallworth 19 yard pass from Mark Malone (Gary Anderson kick),21,31
8,3.0,Dolphins,Woody Bennett 1 yard rush (Uwe von Schamann kick),21,38
9,4.0,Dolphins,Nat Moore 6 yard pass from Dan Marino (Uwe von Schamann kick),21,45
10,4.0,Steelers,Wayne Capers 29 yard pass from Mark Malone (Gary Anderson kick),28,45
