,Quarter,Tm,Detail,CLE,SEA
0,1.0,Browns,Terry Luck 4 yard pass from Greg Pruitt,6,0
1,2.0,Browns,Greg Pruitt 5 yard rush (Don Cockroft kick),13,0
2,2.0,Seahawks,Sherman Smith 20 yard rush (John Leypoldt kick),13,7
3,2.0,Browns,Don Cockroft 24 yard field goal,16,7
4,4.0,Seahawks,David Sims 5 yard rush (John Leypoldt kick),16,14
5,4.0,Browns,Don Cockroft 33 yard field goal,19,14
6,4.0,Seahawks,Steve Largent 15 yard pass from Jim Zorn,19,20
