,Quarter,Time,Tm,Detail,IND,TEN
0,1.0,2:54,Colts,Coby Fleener 7 yard pass from Andrew Luck (Adam Vinatieri kick),7,0
1,2.0,8:54,Colts,Jack Doyle 1 yard pass from Andrew Luck (Adam Vinatieri kick),14,0
2,2.0,5:07,Titans,Kendall Wright 6 yard pass from Charlie Whitehurst (Ryan Succop kick),14,7
3,2.0,2:55,Colts,Adam Vinatieri 23 yard field goal,17,7
4,3.0,4:01,Titans,Ryan Succop 31 yard field goal,17,10
5,4.0,14:56,Colts,Adam Vinatieri 26 yard field goal,20,10
6,4.0,3:16,Colts,Coby Fleener 8 yard pass from Matt Hasselbeck (Adam Vinatieri kick),27,10
