,Quarter,Tm,Detail,NYG,STL
0,1.0,Cardinals,Vai Sikahema 76 yard punt return (Al Del Greco kick),0,7
1,1.0,Giants,Mark Bavaro 11 yard pass from Phil Simms (Raul Allegre kick),7,7
2,1.0,Cardinals,Ron Wolfley 6 yard rush (Al Del Greco kick),7,14
3,2.0,Giants,Raul Allegre 29 yard field goal,10,14
4,2.0,Cardinals,Robert Awalt 20 yard pass from Neil Lomax (Al Del Greco kick),10,21
5,2.0,Cardinals,Stump Mitchell 6 yard rush,10,27
6,3.0,Giants,Lionel Manuel 14 yard pass from Phil Simms (Raul Allegre kick),17,27
7,4.0,Giants,Joe Morris 1 yard rush (Raul Allegre kick),24,27
