,Quarter,Tm,Detail,PHO,WAS
0,1.0,Redskins,Earnest Byner 2 yard rush (Chip Lohmiller kick),0,7
1,2.0,Redskins,Ricky Sanders 10 yard rush (Chip Lohmiller kick),0,14
2,3.0,Redskins,Gary Clark 28 yard pass from Mark Rypien (Chip Lohmiller kick),0,21
3,3.0,Redskins,Wilber Marshall 55 yard interception return (Chip Lohmiller kick),0,28
4,4.0,Redskins,Chip Lohmiller 30 yard field goal,0,31
5,4.0,Redskins,Chip Lohmiller 48 yard field goal,0,34
