,Quarter,Tm,Detail,CHI,SDG
0,1.0,Chargers,Rolf Benirschke 32 yard field goal,0,3
1,1.0,Chargers,Lydell Mitchell 1 yard rush (Rolf Benirschke kick),0,10
2,1.0,Chargers,Larry Burton 16 yard pass from Dan Fouts (Rolf Benirschke kick),0,17
3,2.0,Chargers,John Jefferson 42 yard pass from Dan Fouts,0,23
4,3.0,Chargers,Rolf Benirschke 44 yard field goal,0,26
5,3.0,Chargers,Hank Bauer 37 yard rush (Rolf Benirschke kick),0,33
6,3.0,Bears,Virgil Livers 60 yard interception return (Bob Thomas kick),7,33
7,4.0,Chargers,Larry Burton 34 yard pass from James Harris (Rolf Benirschke kick),7,40
