,Quarter,Time,Tm,Detail,MIN,GNB
0,1.0,,Vikings,Gary Anderson 33 yard field goal,3,0
1,2.0,,Packers,Ryan Longwell 40 yard field goal,3,3
2,2.0,,Vikings,Jake Reed 56 yard pass from Randall Cunningham (Gary Anderson kick),10,3
3,2.0,,Packers,Roell Preston 101 yard kickoff return (Ryan Longwell kick),10,10
4,2.0,,Vikings,Randy Moss 52 yard pass from Randall Cunningham (Gary Anderson kick),17,10
5,2.0,,Vikings,Robert Smith 24 yard pass from Randall Cunningham (Gary Anderson kick),24,10
6,3.0,,Vikings,Gary Anderson 25 yard field goal,27,10
7,4.0,,Vikings,Gary Anderson 19 yard field goal,30,10
8,4.0,,Vikings,Randy Moss 44 yard pass from Randall Cunningham (Gary Anderson kick),37,10
9,4.0,,Packers,Tyrone Davis 11 yard pass from Doug Pederson (Ryan Longwell kick),37,17
10,4.0,0:49,Packers,Bill Schroeder 16 yard pass from Doug Pederson (Ryan Longwell kick),37,24
