,Quarter,Time,Tm,Detail,DET,PHI
0,1.0,5:12,Eagles,Charlie Garner 15 yard rush (Gary Anderson kick),0,7
1,1.0,5:12,Lions,David Sloan 32 yard pass from Scott Mitchell (Jason Hanson kick),7,7
2,2.0,5:12,Eagles,Gary Anderson 21 yard field goal,7,10
3,2.0,5:12,Eagles,Fred Barnett 22 yard pass from Rodney Peete (Gary Anderson kick),7,17
4,2.0,5:12,Eagles,Barry Wilburn 24 yard interception return (Gary Anderson kick),7,24
5,2.0,5:12,Eagles,Ricky Watters 1 yard rush (Gary Anderson kick),7,31
6,2.0,5:12,Eagles,Rob Carpenter 43 yard pass from Rodney Peete (Gary Anderson kick),7,38
7,3.0,5:12,Eagles,Ricky Watters 45 yard pass from Rodney Peete (Gary Anderson kick),7,45
8,3.0,5:12,Eagles,Gary Anderson 31 yard field goal,7,48
9,3.0,5:12,Eagles,Gary Anderson 39 yard field goal,7,51
10,3.0,5:12,Lions,Herman Moore 68 yard pass from Don Majkowski (Jason Hanson kick),14,51
11,3.0,5:12,Lions,Johnnie Morton 7 yard pass from Don Majkowski (Jason Hanson kick),21,51
12,4.0,3:19,Eagles,William Thomas 30 yard interception return (Gary Anderson kick),21,58
13,4.0,3:19,Lions,David Sloan 2 yard pass from Don Majkowski (Ron Rivers run),29,58
14,4.0,3:19,Lions,Ron Rivers 1 yard rush (Herman Moore pass from Don Majkowski),37,58
