,Quarter,Time,Tm,Detail,NYJ,GNB
0,1.0,9:55,Jets,Mike Nugent 24 yard field goal,3,0
1,1.0,4:45,Jets,Jerricho Cotchery 12 yard pass from Chad Pennington (Mike Nugent kick),10,0
2,2.0,12:40,Jets,Cedric Houston 3 yard rush (Mike Nugent kick),17,0
3,2.0,6:17,Jets,Cedric Houston 1 yard rush (Mike Nugent kick),24,0
4,2.0,0:09,Jets,Chris Baker 1 yard pass from Chad Pennington (Mike Nugent kick),31,0
5,3.0,8:32,Packers,Dave Rayner 34 yard field goal,31,3
6,3.0,1:16,Packers,Donald Driver 20 yard pass from Brett Favre (Dave Rayner kick),31,10
7,4.0,11:30,Jets,Leon Washington 20 yard rush (Mike Nugent kick),38,10
