,Quarter,Time,Tm,Detail,LVR,NWE
0,1.0,0:20,Raiders,Daniel Carlson 29 yard field goal,3,0
1,2.0,12:35,Patriots,Nick Folk 33 yard field goal,3,3
2,2.0,7:59,Patriots,Nick Folk 23 yard field goal,3,6
3,2.0,0:42,Patriots,Rex Burkhead 11 yard pass from Cam Newton (Nick Folk kick),3,13
4,2.0,0:09,Raiders,Foster Moreau 1 yard pass from Derek Carr (Daniel Carlson kick),10,13
5,3.0,6:46,Patriots,Rex Burkhead 5 yard rush (Nick Folk kick),10,20
6,3.0,1:31,Patriots,Nick Folk 32 yard field goal,10,23
7,4.0,11:25,Raiders,Daniel Carlson 25 yard field goal,13,23
8,4.0,5:24,Patriots,Rex Burkhead 2 yard rush (Nick Folk kick failed),13,29
9,4.0,5:13,Patriots,Deatrich Wise Jr. fumble recovery in end zone (Nick Folk kick),13,36
10,4.0,2:00,Raiders,Hunter Renfrow 13 yard pass from Derek Carr (Daniel Carlson kick),20,36
