,Quarter,Tm,Detail,CLE,STL
0,2.0,Cardinals,Jim Bakken 10 yard field goal,0,3
1,2.0,Cardinals,Terry Nofsinger 1 yard rush (Jim Bakken kick),0,10
2,2.0,Browns,Gary Collins 42 yard pass from Frank Ryan (Lou Groza kick),7,10
3,2.0,Browns,Lou Groza 37 yard field goal,10,10
4,3.0,Browns,Gary Collins 44 yard pass from Frank Ryan (Lou Groza kick),17,10
5,3.0,Browns,Leroy Kelly 1 yard rush (Lou Groza kick),24,10
6,4.0,Browns,Ernie Green 19 yard pass from Frank Ryan (Lou Groza kick),31,10
7,4.0,Browns,Clifton McNeil 50 yard pass from Frank Ryan (Lou Groza kick),38,10
