,Quarter,Tm,Detail,KAN,MIA
0,1.0,Dolphins,Irving Fryar 27 yard pass from Scott Mitchell (pass failed),0,6
1,2.0,Dolphins,Keith Byars 8 yard pass from Scott Mitchell (Pete Stoyanovich kick),0,13
2,2.0,Chiefs,Nick Lowery 47 yard field goal,3,13
3,3.0,Dolphins,Mark Ingram 77 yard pass from Scott Mitchell (Pete Stoyanovich kick),3,20
4,3.0,Dolphins,Terry Kirby 1 yard rush (Pete Stoyanovich kick),3,27
5,4.0,Dolphins,Pete Stoyanovich 34 yard field goal,3,30
6,4.0,Chiefs,Keith Cash 6 yard pass from Dave Krieg (Nick Lowery kick),10,30
