,Quarter,Tm,Detail,DEN,PHI
0,1.0,Eagles,Harold Carmichael 56 yard pass from Ron Jaworski (Tony Franklin kick),0,7
1,2.0,Eagles,Tony Franklin 17 yard field goal,0,10
2,2.0,Eagles,Tony Franklin 35 yard field goal,0,13
3,2.0,Eagles,Scott Fitzkee 16 yard pass from Ron Jaworski (Tony Franklin kick),0,20
4,3.0,Broncos,Fred Steinfort 44 yard field goal,3,20
5,3.0,Broncos,Fred Steinfort 43 yard field goal,6,20
6,4.0,Eagles,John Spagnola 11 yard pass from Ron Jaworski (Tony Franklin kick),6,27
