,Quarter,Time,Tm,Detail,DET,CAR
0,2.0,3:27,Panthers,John Kasay 23 yard field goal,0,3
1,2.0,0:16,Panthers,Muhsin Muhammad 22 yard pass from Rodney Peete (John Kasay kick),0,10
2,3.0,8:21,Lions,Mike McMahon 11 yard rush (Jason Hanson kick),7,10
3,3.0,6:44,Panthers,Lamar Smith 3 yard rush (John Kasay kick),7,17
4,3.0,5:49,Panthers,Mike Minter 40 yard interception return (John Kasay kick),7,24
5,4.0,9:43,Panthers,Lamar Smith 1 yard rush (John Kasay kick),7,31
