,Quarter,Tm,Detail,CLE,SFO
0,1.0,49ers,Ken Willard 5 yard pass from John Brodie (Bruce Gossett kick),0,7
1,1.0,Browns,Bo Scott 3 yard rush (Don Cockroft kick),7,7
2,1.0,49ers,Mel Phillips 35 yard interception return (Bruce Gossett kick),7,14
3,2.0,Browns,Don Cockroft 20 yard field goal,10,14
4,2.0,49ers,Jimmy Thomas 15 yard pass from John Brodie (Bruce Gossett kick),10,21
5,2.0,Browns,Fair Hooker 8 yard pass from Bill Nelsen (Don Cockroft kick),17,21
6,3.0,Browns,Leroy Kelly 33 yard rush (Don Cockroft kick),24,21
7,4.0,49ers,Ken Willard 9 yard rush,24,27
8,4.0,Browns,Leroy Kelly 8 yard rush (Don Cockroft kick),31,27
9,4.0,49ers,Jimmy Thomas 61 yard pass from John Brodie (Bruce Gossett kick),31,34
