,Quarter,Time,Tm,Detail,MIN,WAS
0,1.0,9:04,Redskins,Jamison Crowder 4 yard pass from Kirk Cousins (Dustin Hopkins kick),0,7
1,2.0,14:18,Redskins,Vernon Davis 38 yard pass from Kirk Cousins (Dustin Hopkins kick),0,14
2,2.0,5:39,Vikings,Matt Asiata 1 yard rush (Blair Walsh kick),7,14
3,2.0,0:58,Vikings,Kyle Rudolph 20 yard pass from Sam Bradford (Blair Walsh kick),14,14
4,2.0,0:00,Vikings,Adam Thielen 3 yard pass from Sam Bradford (Blair Walsh kick failed),20,14
5,3.0,8:53,Redskins,Dustin Hopkins 30 yard field goal,20,17
6,3.0,0:38,Redskins,Dustin Hopkins 37 yard field goal,20,20
7,4.0,9:33,Redskins,Dustin Hopkins 50 yard field goal,20,23
8,4.0,2:31,Redskins,Dustin Hopkins 28 yard field goal,20,26
