,Quarter,Tm,Detail,WAS,BCL
0,1.0,Redskins,Hugh Taylor 27 yard pass from Sammy Baugh (Bill Dudley kick),7,0
1,2.0,Redskins,Hugh Taylor 54 yard pass from Harry Gilmer (Bill Dudley kick),14,0
2,3.0,Colts,Chet Mutryn 34 yard rush (Rex Grossman kick),14,7
3,3.0,Redskins,Rob Goode 56 yard pass from Sammy Baugh (Bill Dudley kick),21,7
4,3.0,Redskins,Bill Dudley 11 yard field goal,24,7
5,3.0,Colts,Geno Mazzanti 7 yard rush (Rex Grossman kick),24,14
6,4.0,Redskins,Hugh Taylor 31 yard pass from Sammy Baugh (Bill Dudley kick),31,14
7,4.0,Redskins,Harry Dowda 28 yard interception return (Bill Dudley kick),38,14
