,Quarter,Time,Tm,Detail,HOU,TEN
0,2.0,10:04,Texans,Kenny Stills 12 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),7,0
1,2.0,3:20,Texans,Kenny Stills 16 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),14,0
2,3.0,5:40,Titans,Ryan Tannehill 1 yard rush (Ryan Succop kick),14,7
3,4.0,13:46,Titans,A.J. Brown 5 yard pass from Ryan Tannehill (Ryan Succop kick),14,14
4,4.0,10:41,Texans,Carlos Hyde 10 yard rush (Ka'imi Fairbairn kick),21,14
5,4.0,3:31,Texans,Ka'imi Fairbairn 29 yard field goal,24,14
6,4.0,2:10,Titans,Dion Lewis 11 yard pass from Ryan Tannehill (Ryan Succop kick),24,21
