,Quarter,Tm,Detail,WAS,DAL
0,1.0,Cowboys,Herschel Walker 1 yard rush (Rafael Septien kick),0,7
1,2.0,Cowboys,Rafael Septien 21 yard field goal,0,10
2,2.0,Cowboys,Rafael Septien 38 yard field goal,0,13
3,2.0,Cowboys,Rafael Septien 36 yard field goal,0,16
4,3.0,Redskins,George Rogers 2 yard rush,6,16
5,4.0,Cowboys,Mike Sherrard 27 yard pass from Steve Pelluer (Rafael Septien kick),6,23
6,4.0,Cowboys,Herschel Walker 1 yard rush (Rafael Septien kick),6,30
