,Quarter,Tm,Detail,RAM,DAL
0,1.0,Cowboys,Calvin Hill 3 yard rush (Toni Fritsch kick),0,7
1,1.0,Cowboys,Drew Pearson 4 yard pass from Roger Staubach (Toni Fritsch kick),0,14
2,2.0,Cowboys,Toni Fritsch 39 yard field goal,0,17
3,2.0,Rams,David Ray 33 yard field goal,3,17
4,2.0,Rams,David Ray 37 yard field goal,6,17
5,4.0,Rams,David Ray 40 yard field goal,9,17
6,4.0,Rams,Tony Baker 5 yard rush (David Ray kick),16,17
7,4.0,Cowboys,Drew Pearson 83 yard pass from Roger Staubach (Toni Fritsch kick),16,24
8,4.0,Cowboys,Toni Fritsch 12 yard field goal,16,27
